,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
2025-02-04,PO.2025.01.00024,UMP-BP-0225/00023,PT MIDEA PLANET INDONESIA,04/02/2025,IDR,1.0,333839464.0,,
2025-02-05,PO.2025.02.00008,UMP-BP-0225/00024,PT FLIFE TECHNOLOGIES INDONESIA,05/02/2025,IDR,1.0,36109168.0,,
2025-02-07,PO.2025.02.00035,UMP-BP-0225/00027,PT FLIFE TECHNOLOGIES INDONESIA,07/02/2025,IDR,1.0,461815.0,,
2025-02-10,PO.2025.02.00050,UMP-BP-0225/00031,PT FLIFE TECHNOLOGIES INDONESIA,10/02/2025,IDR,1.0,122048.0,,
2025-02-11,PO.2025.02.00055,UMP-BP-0225/00033,PT SUMBER MANDIRI SURABAYA,11/02/2025,IDR,1.0,1080000.0,,
2025-02-12,PO.2025.02.00067,UMP-BP-0225/00037,PT JATIM WATKORAYA,12/02/2025,IDR,1.0,5155459.0,,
2025-02-14,PO.2025.01.00024,UMP-BP-0225/00038,PT MIDEA PLANET INDONESIA,14/02/2025,IDR,1.0,34474808.0,,
2025-02-18,PO.2025.02.00062,UMP-BP-0225/00040,PT PANASONIC GOBEL INDONESIA,18/02/2025,IDR,1.0,84039875.0,,
2025-02-19,PO.2025.01.00044,UMP-BP-0225/00041,PT MIDEA PLANET INDONESIA,19/02/2025,IDR,1.0,25817710.0,,
2025-02-20,PO.2025.01.00028,UMP-BP-0225/00042,PT MIDEA PLANET INDONESIA,20/02/2025,IDR,1.0,98669191.0,,
2025-02-25,PO.2025.02.00137,UMP-BP-0225/00043,PT SUMBER MANDIRI SURABAYA,25/02/2025,IDR,1.0,1175999.0,,
2025-02-26,PO.2025.02.00129,UMP-BP-0225/00046,PT MIDEA PLANET INDONESIA,26/02/2025,IDR,1.0,516030300.0,,
2025-02-27,PO.2025.02.00155,UMP-BP-0225/00050,PT DAMAI SEJAHTERA ABADI TBK,27/02/2025,IDR,1.0,3598000.0,,
