,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
220,,,30/01/2025,SURABAYA,USD,,,CBD,,P1458,"ZUTTO 1/4""-5/8"" (0,61-0,71)",50,139.3,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
221,,,30/01/2025,SURABAYA,USD,,,CBD,,P3858,"ZUTTO 3/8""-5/8"" (0,61-0,71)",25,156.2,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
222,,,30/01/2025,SURABAYA,USD,,,CBD,,,,50,16.89,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
223,,,30/01/2025,SURABAYA,USD,,,CBD,,A1438,"ARA 1/4""-3/8"" (0,60-0,60)",100,79.2,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
224,,,30/01/2025,SURABAYA,USD,,,CBD,,B3858,"ZUTTO 3/8""-5/8"" (0,81-0,89)",30,190,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
225,,PT JATIM WATKORAYA,13/01/2025,SURABAYA,IDR,,,CBD,,ETERNA2X1.5MM,"ETERNA 2X1,5MM",18,919912.5,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
226,,PT JATIM WATKORAYA,13/01/2025,SURABAYA,IDR,,,CBD,,STEKER,MASKO STEKER,240,25456.2,,BH,GD. UTAMA (SBY) - CBP,,,,,,,
227,,PT TRIMASTER JAYA ABADI,14/01/2025,SURABAYA,IDR,,,NET 30,,TAC09CSDXS,TCL TAC09CSD/XS,5,2650000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
228,,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,IDR,,,CBD,,GWC0707CS,GREE GWC0707CS,1,8111260,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
229,,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,5,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
230,,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,IDR,,,CBD,,STKF35AV,DAIKIN STKF-35AV,1,5475360,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
231,,PT JATIM WATKORAYA,13/01/2025,SURABAYA,IDR,,,CBD,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",15,853867,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
232,,PT PANASONIC GOBEL INDONESIA,13/01/2025,SURABAYA,IDR,,,NET 28,,CSCULN7AKJ,PANASONIC CS/CU-LN7AKJ,5,3924960,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
233,,PT PANASONIC GOBEL INDONESIA,13/01/2025,SURABAYA,IDR,,,NET 28,,CSCUPN5AKJ,PANASONIC CS/CU-PN5AKJ,5,4277990,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
234,,PT PANASONIC GOBEL INDONESIA,13/01/2025,SURABAYA,IDR,,,NET 28,,CSCUPN9AKJ,PANASONIC CS/CU-PN9AKJ,5,4584300,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
235,,CV BANDUNG GEMILANG SENTOSA,13/01/2025,SURABAYA,IDR,,,CBD,,GVC48STSSECO,GREE GVC-48STS(S)ECO,1,19586800,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
236,,CV BANDUNG GEMILANG SENTOSA,13/01/2025,SURABAYA,IDR,,,CBD,,GTAACOOL6,GREE GTA-ACOOL6,1,1221060,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
237,,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,IDR,,,NET 28,,PAC07VH,POLYTRON PAC07VH,7,2293710,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
238,,PT TRIMASTER JAYA ABADI,14/01/2025,SURABAYA,IDR,,,CBD,,,,25,3495870,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
239,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",2060,33963.965,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
240,,CV BALLY AIRCOND,13/01/2025,BALI,IDR,,,CBD,,GCAACOOL60,GREE GCA-ACOOL60,4,2365500,,UNIT,GD. UTAMA (BALI) - CBP,,,,,,,
241,,CV BALLY AIRCOND,14/01/2025,BALI,IDR,,,CBD,,GTAACOOL4,GREE GTA-ACOOL4,3,901550,,UNIT,GD. UTAMA (BALI) - CBP,,,,,,,
242,,CV BALLY AIRCOND,14/01/2025,BALI,IDR,,,CBD,,GWC18F5S,GREE GWC-18F5S,2,7409050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
243,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO1PK,ZUTTO BRAKET 1 PK,5000,24684.686,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
244,,PT GENERGY GLOBAL INDONESIA,14/01/2025,SURABAYA,IDR,,,CBD,,MCD18CRDN2,MIDEA MCD-18CRDN2,1,8700000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
245,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO1PK,ZUTTO BRAKET 1 PK,5040,24684.686,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
246,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",1500,33963.965,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
247,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",1600,33963.965,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
248,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO1PK,ZUTTO BRAKET 1 PK,4000,24684.686,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
249,,CV MUARA PERKASA,14/01/2025,BALI,IDR,,,CBD,,GWC05MOO5S,GREE GWC-05MOO5S,20,2702702.74,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
250,,PT SARANA KENCANA MULYA,06/01/2025,SURABAYA,IDR,,,NET 28,,PAC09VH,POLYTRON PAC09VH,207,2324344.2,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
251,,PT AKARI INDONESIA,15/01/2025,BALI,IDR,,,NET 30,,A09TC88NLW,AKARI A09TC88NLW,10,2750000,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
252,,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,IDR,,,NET 28,,PAC05VZI,POLYTRON PAC05VZI,3,2274510,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
253,,PT PANASONIC GOBEL INDONESIA,15/01/2025,SURABAYA,IDR,,,NET 28,,CSCULN5AKJ,PANASONIC CS/CU-LN5AKJ,10,3740478,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
254,,SAMI JAYA,14/01/2025,SURABAYA,IDR,,,CBD,,,,30,3010000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
255,,PT CHANGHONG MEILING ELECTRIC INDONESIA,03/01/2025,SURABAYA,IDR,,,NET 60,,CSC12NVB4,CHANGHONG CSC-12NVB4,3,3601500,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
256,,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,IDR,,,CBD,,GWC12F5S,GREE GWC-12F5S,2,5187860,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
257,,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,BO FEE,BEBAS ONGKIR FEE,1,433920,,LOT,,,,,,,,
258,,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,2,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
259,,CV BANDUNG GEMILANG SENTOSA,15/01/2025,SURABAYA,IDR,,,CBD,,,,1,1199000,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
260,,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,SF,SERVICE FEE,1,5774614,,LOT,,,,,,,,
261,,PT SHARP ELECTRONICS INDONESIA,16/01/2025,BALI,IDR,,,NET 21,,AHA18ZCY,SHARP AH-A18ZCY,5,5294000,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
262,,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO1PK,ZUTTO BRAKET 1 PK,5000,24684.686,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
263,,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,TF,TRANSACTION FEE,1,1387122,,LOT,,,,,,,,
264,,PT TRIMASTER JAYA ABADI,16/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6044070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
265,,PT TRIMASTER JAYA ABADI,16/01/2025,SURABAYA,IDR,,,CBD,,FM12512K,GREE FM-1.25-12-K,4,2835570,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
266,,PT TOKOPEDIA,01/01/2025,BALI,IDR,,,CBD,,SF,SERVICE FEE,1,8776040,,LOT,,,,,,,,
267,,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN5YKP,PANASONIC CS/CU-ZN5YKP,50,2794980,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
268,,PT TOKOPEDIA,01/01/2025,BALI,IDR,,,CBD,,TF,TRANSACTION FEE,1,3038714,,LOT,,,,,,,,
269,,CV MIAMI ELECTRONIC,16/01/2025,SURABAYA,IDR,,,CBD,,GWC0707CS,GREE GWC0707CS,1,8024970,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
270,,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN7YKP,PANASONIC CS/CU-ZN7YKP,50,2981460,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
271,,PT PANASONIC GOBEL INDONESIA,17/01/2025,SURABAYA,IDR,,,CBD,,CSCUZN9YKP,PANASONIC CS/CU-ZN9YKP,150,3094680,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
272,,PT JATIM WATKORAYA,17/01/2025,SURABAYA,IDR,,,CBD,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",5,1182520,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
273,,PT JATIM WATKORAYA,17/01/2025,SURABAYA,IDR,,,CBD,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",1,591260,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
274,,PT CHANGHONG MEILING ELECTRIC INDONESIA,30/01/2025,SURABAYA,IDR,,,NET 60,,CSC18NVB3,CHANGHONG CSC-18NVB3,20,4753000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
275,,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,5,6514060,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
276,,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,2,4347070,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
277,,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,BALI,IDR,,,CBD,,STKQ35UV,DAIKIN STKQ-35UV,4,5793600,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
278,,CV BANDUNG GEMILANG SENTOSA,17/01/2025,SURABAYA,IDR,,,CBD,,GWC09MOO5S,GREE GWC-09MOO5S,29,3467660,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
279,,CV BALLY AIRCOND,17/01/2025,BALI,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6174050,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
280,,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,20,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
281,,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,15,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
282,,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STKQ50UV,DAIKIN STKQ-50UV,2,8388480,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
283,,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STKQ60UV,DAIKIN STKQ-60UV,1,11938080,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
284,,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,SURABAYA,IDR,,,CBD,,STV35CXV,DAIKIN STV-35CXV,6,4506530,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
285,,PT CHANGHONG MEILING ELECTRIC INDONESIA,30/01/2025,SURABAYA,IDR,,,NET 60,,CSC12NVB4,CHANGHONG CSC-12NVB4,10,3601500,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
286,,CV BANDUNG GEMILANG SENTOSA,22/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,2,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
287,,PT SARANA KENCANA MULYA,21/01/2025,SURABAYA,IDR,,,NET 28,,PSF2032,POLYTRON PSF2032,2,6882075,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
288,,CV BANDUNG GEMILANG SENTOSA,20/01/2025,MADIUN,IDR,,,CBD,,GVC48STSSECO,GREE GVC-48STS(S)ECO,3,17262162,,SET,GD. UTAMA (MDN) - CBP,,,,,,,
289,,PT DAIKIN AIRCONDITIONING INDONESIA,16/01/2025,SURABAYA,IDR,,,CBD,,,,4,187000,,PCS,GD. UTAMA (SBY) - CBP,,,,,,,
290,,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,3,4347070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
291,,PT SARANA KENCANA MULYA,21/01/2025,SURABAYA,IDR,,,NET 28,,PAC09VZ,POLYTRON PAC09VZ,2,2497755,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
292,,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STV50CXV,DAIKIN STV-50CXV,8,5987846,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
293,,PT SHARP ELECTRONICS INDONESIA,21/01/2025,BALI,IDR,,,NET 21,,AHAP5BMY,SHARP AH-AP5BMY,5,2989230,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
294,,PT SHARP ELECTRONICS INDONESIA,21/01/2025,BALI,IDR,,,NET 21,,AHAP9BMY,SHARP AH-AP9BMY,5,3307800,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
295,,PT AKARI INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 30,,A09TC88NLW,AKARI A09TC88NLW,5,2750000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
296,,PT CHANGHONG MEILING ELECTRIC INDONESIA,20/01/2025,SURABAYA,IDR,,,NET 60,,CHFS48LA,CHANGHONG CHFS-48LA,2,15300000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
297,,PT PUCANGADI JAYA,20/01/2025,BALI,IDR,,,CBD,,GWC07MOO5S,GREE GWC-07MOO5S,8,3345460,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
298,,PT PUCANGADI JAYA,18/01/2025,BALI,IDR,,,CBD,,GWC09MOO5S,GREE GWC-09MOO5S,15,3467660,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
299,,PT BERKAT ELEKTRIK SEJATI TANGGUH,21/01/2025,BALI,IDR,,,NET 60,,,,1,15998089,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
300,,PT PANASONIC GOBEL INDONESIA,18/01/2025,SURABAYA,IDR,,,NET 28,,CSCUPN18AKJ,PANASONIC CS/CU-PN18AKJ,10,6774330,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
301,,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC20NV,DAIKIN STC-20NV,3,3765160,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
302,,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC35NV,DAIKIN STC-35NV,8,4889710,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
303,,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,5,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
304,,CV BALLY AIRCOND,18/01/2025,BALI,IDR,,,CBD,,GWC12N1A,GREE GWC-12N1A,15,4132928,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
305,,AINUR ROFIQ,22/01/2025,SURABAYA,IDR,,,CBD,,MATERIAL-AC,MATERIAL AC,1,389000,,LOT,GD. UTAMA (SBY) - CBP,,,,,,,
306,,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,4,4347070,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
307,,PT TRIMASTER JAYA ABADI,22/01/2025,SURABAYA,IDR,,,NET 30,,GEVER1438,"GEVER INVERTER 1/4-3/8""",10,1599099.1,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
308,,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STKQ35UV,DAIKIN STKQ-35UV,2,5793600,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
309,,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STV60CXV,DAIKIN STV-60CXV,5,8471610,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
310,,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 55,,AR10CYFAA,SAMSUNG AR10CYFAA,1,0,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
311,,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 55,,,,1,0,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
312,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSAF12CRN2,MIDEA MSAF12CRN2,15,3714858,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
313,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,5,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
314,,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,FM12512K,GREE FM-1.25-12-K,3,2835570,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
315,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC20NV,DAIKIN STC-20NV,3,3765160,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
316,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,7,3378510,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
317,,,30/01/2025,SURABAYA,USD,,,CBD,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",60,67.1,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
318,,,30/01/2025,SURABAYA,USD,,,CBD,,A1438,"ARA 1/4""-3/8"" (0,60-0,60)",150,80.9,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
319,,,30/01/2025,SURABAYA,USD,,,CBD,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",120,87.6,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
320,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSFC12CRN1-32,MIDEA MSFC12CRN1-32,15,3537930,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
321,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSAF18CRN2,MIDEA MSAF18CRN2,30,5017519,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
322,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MPHA05CRN7,MIDEA MPHA-05CRN7,20,2662650,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
323,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF05CRDN2X,MIDEA MSIAF05CRDN2X,10,3191300,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
324,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF12CRDN2X,MIDEA MSIAF12CRDN2X,1,4548330,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
325,,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF18CRDN2X,MIDEA MSIAF18CRDN2X,2,5441700,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
326,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC35NV,DAIKIN STC-35NV,10,4889710,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
327,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,10,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
328,,PT TOKOPEDIA,31/01/2025,MADIUN,IDR,,,CBD,,TF,TRANSACTION FEE,1,372514,,LOT,,,,,,,,
329,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STV15CXV,DAIKIN STV-15CXV,2,3315340,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
330,,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STV35CXV,DAIKIN STV-35CXV,7,4506530,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
331,,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,IDR,,,NET 55,,AC071TN4PKC/EA,SAMSUNG AC071TN4PKC/EA,1,21684000,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
332,,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,SURABAYA,IDR,,,CBD,,FAC05FC00,FLIFE FAC-05FC00,7,2514244,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
333,,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,SURABAYA,IDR,,,CBD,,FAC09FC00,FLIFE FAC-09FC00,3,2853161,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
334,,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,GWC12N1A,GREE GWC-12N1A,10,4490970,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
335,,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6044070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
336,,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,14,5868680,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
337,,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,1,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
338,,PT AKARI INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 30,,A05TC88NLW,AKARI A05TC88NLW,20,2300000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
339,,PT TOKOPEDIA,31/01/2025,SURABAYA,IDR,,,CBD,,BO FEE,BEBAS ONGKIR FEE,1,144144,,LOT,,,,,,,,
340,,PT CHANGHONG MEILING ELECTRIC INDONESIA,23/01/2025,SURABAYA,IDR,,,NET 60,,CSC05RDX4,CHANGHONG CSC-05RDX4,15,2430400,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
341,,,30/01/2025,SURABAYA,USD,,,CBD,,B1438,"ZUTTO 1/4""-3/8"" (0,76-0,81)",50,111,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
342,,,30/01/2025,SURABAYA,USD,,,CBD,,S1412,"ZUTTO 1/4""-1/2"" (0,40-0,51)",50,86.3,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
343,,,30/01/2025,SURABAYA,USD,,,CBD,,B1412,"ZUTTO 1/4""-1/2"" (0,76-0,81)",50,134.7,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
344,,,30/01/2025,SURABAYA,USD,,,CBD,,S1458,"ZUTTO 1/4""-5/8"" (0,40-0,61)",50,115.9,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
345,,,30/01/2025,SURABAYA,USD,,,CBD,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",60,66.7,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
346,,,30/01/2025,SURABAYA,USD,,,CBD,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",90,87.4,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
347,,,30/01/2025,SURABAYA,USD,,,CBD,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",90,67.1,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
348,,,30/01/2025,SURABAYA,USD,,,CBD,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",30,87.6,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
349,,PT MEGAH PERTAMA INDAH,23/01/2025,SURABAYA,IDR,,,CBD,,,,1,6650000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
350,,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,IDR,,,CBD,,BA,BIAYA ADMINISTRASI,1,10021176,,LOT,,,,,,,,
351,,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,IDR,,,CBD,,BL,BIAYA LAYANAN,1,4807151,,LOT,,,,,,,,
352,,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,IDR,,,CBD,,BPB,BIAYA PEMBAYARAN,1,0,,LOT,,,,,,,,
353,,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,IDR,,,CBD,,BPL,BIAYA PEMELIHARAAN,1,0,,LOT,,,,,,,,
