,Terms and Conditions,Supplier,Date,Branch,Supplier Invoice No,Supplier Invoice Date,Faktur Pajak No,Payment Terms Template,Item (Items),Item Name (Items),Accepted Qty (Items),Rate (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Is Tax Withholding Account (Purchase Taxes and Charges),Reference Type (Advances),Reference Name (Advances),Allocated Amount (Advances),Advance amount (Advances)
307,PI.2025.01.00121,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,0125/122,,,,,,1,,,PO.2025.01.00115,,,,,,,,,,,,,,
308,PI.2025.01.00130,PT SHOPEE INTERNATIONAL INDONESIA,01/01/2025,SURABAYA,0125/129,,040.001-25.08839303,,BPL,BIAYA PEMELIHARAAN,1,,,PO.2025.01.00123,,,,,,,,,,,,,,
309,PI.2025.01.00122,PT SARANA KENCANA MULYA,22/01/2025,SURABAYA,0125/115,,04002500011153222,,PSF2032,POLYTRON PSF2032,1,,,PO.2025.01.00109,,,,,,,,,,,,,,
310,PI.2024.12.00310,SAMI JAYA,06/01/2025,SURABAYA,1224/309,,04002500002850243,,GWC09MOO5S,GREE GWC-09MOO5S,10,,,PO.2024.12.00184,,,,,,,,,,,,,,
311,PI.2025.01.00062,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/067,,04002500006239642,,CTKC50RVM4,DAIKIN CTKC50RVM4,2,,,PO.2025.01.00054,,,,,,,,,,,,,,
312,PI.2025.01.00186,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/185,,04002500013944492,,SVC85AYL,DAIKIN SVC85AYL,1,,,PO.2025.01.00138,,,,,,,,,,,,,,
313,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STC20NV,DAIKIN STC-20NV,5,,,PO.2025.01.00142,,,,,,,,,,,,,,
314,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STC35NV,DAIKIN STC-35NV,5,,,PO.2025.01.00142,,,,,,,,,,,,,,
315,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STC50XV,DAIKIN STC-50XV,7,,,PO.2025.01.00142,,,,,,,,,,,,,,
316,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STKQ15UV,DAIKIN STKQ-15UV,3,,,PO.2025.01.00142,,,,,,,,,,,,,,
317,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STKQ20UV,DAIKIN STKQ-20UV,2,,,PO.2025.01.00142,,,,,,,,,,,,,,
318,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STKQ25UV,DAIKIN STKQ-25UV,3,,,PO.2025.01.00142,,,,,,,,,,,,,,
319,PI.2025.01.00189,PT DAIKIN AIRCONDITIONING INDONESIA,31/01/2025,SURABAYA,0125/189,,04002500013944532,,STV35CXV,DAIKIN STV-35CXV,2,,,PO.2025.01.00142,,,,,,,,,,,,,,
320,PI.2025.01.00086,PT SARANA KENCANA MULYA,16/01/2025,SURABAYA,0125/092,,04002500004429280,,PAC09VH,POLYTRON PAC09VH,12,,,PO.2025.01.00019,,,,,,,,,,,,,,
321,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,A1438,"ARA 1/4""-3/8"" (0,60-0,60)",44,,,PO.2024.12.00038,,,,,,,,,,,,,,
322,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",51,,,PO.2024.12.00038,,,,,,,,,,,,,,
323,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H1438,"HONSHU 1/4""-3/8"" (0,61-0,61)",36,,,PO.2024.12.00038,,,,,,,,,,,,,,
324,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,S1412,"ZUTTO 1/4""-1/2"" (0,40-0,51)",48,,,PO.2024.12.00038,,,,,,,,,,,,,,
325,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,P1412,"ZUTTO 1/4""-1/2"" (0,61-0,65)",50,,,PO.2024.12.00038,,,,,,,,,,,,,,
326,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H1412,"HONSHU 1/4""-1/2"" (0,61-0,65)",42,,,PO.2024.12.00038,,,,,,,,,,,,,,
327,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H1458,"HONSHU 1/4""-5/8"" (0,61-0,71)",31,,,PO.2024.12.00038,,,,,,,,,,,,,,
328,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,H1234,"HONSHU 1/2""-3/4"" (0,65-0,89)",23,,,PO.2024.12.00038,,,,,,,,,,,,,,
329,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",98,,,PO.2024.12.00038,,,,,,,,,,,,,,
330,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",132,,,PO.2024.12.00038,,,,,,,,,,,,,,
331,PI.2025.01.00087,,14/01/2025,SURABAYA,0125/088,,,,P1412,"ZUTTO 1/4""-1/2"" (0,61-0,65)",50,,,PO.2024.12.00038,,,,,,,,,,,,,,
332,PI.2025.01.00090,PT SARANA KENCANA MULYA,16/01/2025,SURABAYA,0125/087,,04002500004429287,,PAC09VH,POLYTRON PAC09VH,83,,,PO.2025.01.00019,,,,,,,,,,,,,,
333,PI.2025.01.00058,CV BALLY AIRCOND,14/01/2025,BALI,0125/059,,04002500001609570,,GWC18F5S,GREE GWC-18F5S,2,,,PO.2025.01.00068,,,,,,,,,,,,,,
334,PI.2025.01.00102,PT PANASONIC GOBEL INDONESIA,18/01/2025,SURABAYA,0125/102,,04002500007131595,,CSCULN5AKJ,PANASONIC CS/CU-LN5AKJ,10,,,PO.2025.01.00075,,,,,,,,,,,,,,
335,PI.2025.01.00010,PT SUMBER MANDIRI SURABAYA,06/01/2025,SURABAYA,0125/010,,04002500001967294,,HDSPIRALDRAIN,HD SPIRAL DRAIN,5,,,PO.2025.01.00015,,,,,,,,,,,,,,
336,PI.2025.01.00005,SAMI JAYA,06/01/2025,SURABAYA,0125/005,,04002500002248911,,GWC05MOO5S,GREE GWC-05MOO5S,30,,,PO.2025.01.00005,,,,,,,,,,,,,,
337,PI.2025.01.00100,PT SARANA KENCANA MULYA,17/01/2025,SURABAYA,0125/100,,04002500005075107,,PAC09VH,POLYTRON PAC09VH,7,,,PO.2025.01.00019,,,,,,,,,,,,,,
338,PI.2025.01.00099,PT SARANA KENCANA MULYA,17/01/2025,SURABAYA,0125/099,,04002500004429230,,PAC09VH,POLYTRON PAC09VH,88,,,PO.2025.01.00019,,,,,,,,,,,,,,
339,PI.2025.01.00095,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/097,,04002500012016348,,,,4,,,PO.2025.01.00096,,,,,,,,,,,,,,
340,PI.2025.01.00044,PT FLIFE TECHNOLOGIES INDONESIA,13/01/2025,SURABAYA,0125/043,,04002500021567227,,FAC05FC00,FLIFE FAC-05FC00,3,,,PO.2025.01.00049,,,,,,,,,,,,,,
341,PI.2025.01.00044,PT FLIFE TECHNOLOGIES INDONESIA,13/01/2025,SURABAYA,0125/043,,04002500021567227,,FAC09FC00,FLIFE FAC-09FC00,1,,,PO.2025.01.00049,,,,,,,,,,,,,,
342,PI.2025.01.00152,PT TRIMASTER JAYA ABADI,25/01/2025,SURABAYA,0125/151,,04002500017889610,,GWC12F5S,GREE GWC-12F5S,1,,,PO.2025.01.00129,,,,,,,,,,,,,,
343,PI.2025.01.00152,PT TRIMASTER JAYA ABADI,25/01/2025,SURABAYA,0125/151,,04002500017889610,,GWC18F5S,GREE GWC-18F5S,1,,,PO.2025.01.00129,,,,,,,,,,,,,,
344,PI.2025.01.00096,PT JATIM WATKORAYA,13/01/2025,SURABAYA,0125/051,,04002500011334996,,ETERNA3X2.5MM,"ETERNA 3X2,5MM",15,,,PO.2025.01.00064,,,,,,,,,,,,,,
345,PI.2025.01.00096,PT JATIM WATKORAYA,13/01/2025,SURABAYA,0125/051,,04002500011334996,,STEKER,MASKO STEKER,240,,,PO.2025.01.00064,,,,,,,,,,,,,,
346,PI.2025.01.00147,PT PANASONIC GOBEL INDONESIA,28/01/2025,SURABAYA,0125/148,,04002500013711823,,CSCUYN5AKJ,PANASONIC CS/CU-YN5AKJ,90,,,PO.2025.01.00047,,,,,,,,,,,,,,
347,PI.2025.01.00147,PT PANASONIC GOBEL INDONESIA,28/01/2025,SURABAYA,0125/148,,04002500013711823,,CSCUYN7AKJ,PANASONIC CS/CU-YN7AKJ,30,,,PO.2025.01.00047,,,,,,,,,,,,,,
348,PI.2025.01.00142,PT SHARP ELECTRONICS INDONESIA,24/01/2025,BALI,0125/143,,04002500012410944,,AHA18ZCY,SHARP AH-A18ZCY,5,,,PO.2025.01.00082,,,,,,,,,,,,,,
349,PI.2025.01.00050,PT SUMBER MANDIRI SURABAYA,13/01/2025,SURABAYA,0125/050,,04002500004501282,,HDSPIRALDRAIN,HD SPIRAL DRAIN,15,,,PO.2025.01.00057,,,,,,,,,,,,,,
350,PI.2025.01.00201,PT TOKOPEDIA,31/01/2025,MADIUN,0125/200,,040.002-25.40190159,,SF,SERVICE FEE,1,,,PO.2025.01.00162,,,,,,,,,,,,,,
351,PI.2025.01.00195,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/194,,04002500014935245,,STC20NV,DAIKIN STC-20NV,5,,,PO.2025.01.00131,,,,,,,,,,,,,,
352,PI.2025.01.00195,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/194,,04002500014935245,,STC35NV,DAIKIN STC-35NV,5,,,PO.2025.01.00131,,,,,,,,,,,,,,
353,PI.2025.01.00195,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/194,,04002500014935245,,STC50XV,DAIKIN STC-50XV,15,,,PO.2025.01.00131,,,,,,,,,,,,,,
354,PI.2025.01.00195,PT DAIKIN AIRCONDITIONING INDONESIA,30/01/2025,BALI,0125/194,,04002500014935245,,STV35CXV,DAIKIN STV-35CXV,3,,,PO.2025.01.00131,,,,,,,,,,,,,,
355,PI.2025.01.00160,PT SHARP ELECTRONICS INDONESIA,28/01/2025,SURABAYA,0125/158,,04002500012852530,,AHAP7BMY,SHARP AH-AP7BMY,5,,,PO.2025.01.00133,,,,,,,,,,,,,,
356,PI.2025.01.00160,PT SHARP ELECTRONICS INDONESIA,28/01/2025,SURABAYA,0125/158,,04002500012852530,,AHX18ZY,SHARP AH-X18ZY,8,,,PO.2025.01.00133,,,,,,,,,,,,,,
357,PI.2025.01.00160,PT SHARP ELECTRONICS INDONESIA,28/01/2025,SURABAYA,0125/158,,04002500012852530,,AHAP9BMY,SHARP AH-AP9BMY,5,,,PO.2025.01.00133,,,,,,,,,,,,,,
358,PI.2025.01.00219,PT. GLOBAL DIGITAL NIAGA TBK.,31/01/2025,SURABAYA,0125/218,,04002500020811794,,JASAMANAGEMENT,JASA MANAGEMENT,1,,,PO.2025.01.00164,,,,,,,,,,,,,,
359,PI.2025.01.00208,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/207,,04002500014893118,,PAC05VZSI,POLYTRON PAC05VZSI,1,,,PO.2025.01.00148,,,,,,,,,,,,,,
360,PI.2025.01.00208,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/207,,04002500014893118,,PAC09VZI,POLYTRON PAC09VZI,3,,,PO.2025.01.00148,,,,,,,,,,,,,,
361,PI.2025.01.00203,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/202,,04002500014893117,,PAC18VH,POLYTRON PAC18VH,20,,,PO.2025.01.00020,,,,,,,,,,,,,,
362,PI.2025.01.00209,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/208,,04002500014893120,,PAC05VZSI,POLYTRON PAC05VZSI,4,,,PO.2025.01.00149,,,,,,,,,,,,,,
363,PI.2025.01.00209,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/208,,04002500014893120,,PAC09VZI,POLYTRON PAC09VZI,2,,,PO.2025.01.00149,,,,,,,,,,,,,,
364,PI.2025.01.00208,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/207,,04002500014893118,,PAC09VZSI,POLYTRON PAC09VZSI,5,,,PO.2025.01.00148,,,,,,,,,,,,,,
365,PI.2025.01.00131,PT CHANGHONG MEILING ELECTRIC INDONESIA,25/01/2025,SURABAYA,0125/130,,04002500025759716,,CSC05RDX4,CHANGHONG CSC-05RDX4,6,,,PO.2025.01.00120,,,,,,,,,,,,,,
366,PI.2025.01.00185,PT CHANGHONG MEILING ELECTRIC INDONESIA,31/01/2025,SURABAYA,0125/184,,04002500025764916,,CSC18NVB3,CHANGHONG CSC-18NVB3,5,,,PO.2025.01.00006,,,,,,,,,,,,,,
367,PI.2025.01.00084,PT TOKOPEDIA,01/01/2025,BALI,0125/085,,040.002-25.40193785,,SF,SERVICE FEE,1,,,PO.2025.01.00086,,,,,,,,,,,,,,
368,PI.2025.01.00108,PT PANASONIC GOBEL INDONESIA,21/01/2025,SURABAYA,0125/109,,04002500010646660,,CSCUPN18AKJ,PANASONIC CS/CU-PN18AKJ,10,,,PO.2025.01.00100,,,,,,,,,,,,,,
369,PI.2025.01.00103,CV JAYA ARTHA SEJAHTERA,20/01/2025,SURABAYA,0125/103,,04002500016820586,,ZUTTO1PK,ZUTTO BRAKET 1 PK,2500,,,PO.2024.10.00035,,,,,,,,,,,,,,
370,PI.2025.01.00111,PT MIDEA PLANET INDONESIA,21/01/2025,SURABAYA,0125/112,,,,MSIAF05CRDN2X,MIDEA MSIAF05CRDN2X,4,,,PO.2025.01.00024,,,,,,,,,,,,,,
371,PI.2025.01.00105,CV JAYA ARTHA SEJAHTERA,20/01/2025,SURABAYA,0125/105,,04002500016820581,,ZUTTO1PK,ZUTTO BRAKET 1 PK,560,,,PO.2024.10.00035,,,,,,,,,,,,,,
372,PI.2025.01.00085,PT TOKOPEDIA,01/01/2025,BALI,0125/086,,040.002-25.40201669,,TF,TRANSACTION FEE,1,,,PO.2025.01.00087,,,,,,,,,,,,,,
373,PI.2025.01.00115,PT PUCANGADI JAYA,22/01/2025,BALI,0125/116,,04002500008187813,,GWC07MOO5S,GREE GWC-07MOO5S,8,,,PO.2025.01.00104,,,,,,,,,,,,,,
374,PI.2025.01.00069,PT CHANGHONG MEILING ELECTRIC INDONESIA,15/01/2025,SURABAYA,0125/074,,04002500025762984,,CSC18NVB3,CHANGHONG CSC-18NVB3,10,,,PO.2025.01.00006,,,,,,,,,,,,,,
375,PI.2025.01.00069,PT CHANGHONG MEILING ELECTRIC INDONESIA,15/01/2025,SURABAYA,0125/074,,04002500025762984,,CSC12NVB4,CHANGHONG CSC-12NVB4,3,,,PO.2025.01.00006,,,,,,,,,,,,,,
376,PI.2025.01.00007,PT CHANGHONG MEILING ELECTRIC INDONESIA,04/01/2025,SURABAYA,0125/007,,04002500025760671,,CSC12NVB4,CHANGHONG CSC-12NVB4,5,,,PO.2025.01.00006,,,,,,,,,,,,,,
377,PI.2025.01.00007,PT CHANGHONG MEILING ELECTRIC INDONESIA,04/01/2025,SURABAYA,0125/007,,04002500025760671,,CSC09RDX4,CHANGHONG CSC-09RDX4,7,,,PO.2025.01.00006,,,,,,,,,,,,,,
378,PI.2025.01.00027,PT CHANGHONG MEILING ELECTRIC INDONESIA,10/01/2025,BALI,0125/027,,04002500025760664,,CSC05NVB4,CHANGHONG CSC-05NVB4,25,,,PO.2024.11.00069,,,,,,,,,,,,,,
379,PI.2025.01.00023,PT CHANGHONG MEILING ELECTRIC INDONESIA,08/01/2025,SURABAYA,0125/023,,04002500025760661,,CSC18NVB3,CHANGHONG CSC-18NVB3,5,,,PO.2025.01.00006,,,,,,,,,,,,,,
380,PI.2025.01.00118,CV JAYA ARTHA SEJAHTERA,22/01/2025,SURABAYA,0125/119,,04002500017007059,,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",1760,,,PO.2025.01.00076,,,,,,,,,,,,,,
381,PI.2025.01.00208,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/207,,04002500014893118,,PAC05VZI,POLYTRON PAC05VZI,4,,,PO.2025.01.00148,,,,,,,,,,,,,,
382,PI.2025.01.00209,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/208,,04002500014893120,,PAC05VZI,POLYTRON PAC05VZI,1,,,PO.2025.01.00149,,,,,,,,,,,,,,
383,PI.2025.01.00061,PT TRIWIRA TEKNO MANDIRI,14/01/2025,SURABAYA,0125/066,,04002500002987530,,CSC09NVB4,CHANGHONG CSC-09NVB4,10,,,PO.2025.01.00051,,,,,,,,,,,,,,
384,PI.2025.01.00061,PT TRIWIRA TEKNO MANDIRI,14/01/2025,SURABAYA,0125/066,,04002500002987530,,CSC09NVC4,CHANGHONG CSC-09NVC4,10,,,PO.2025.01.00051,,,,,,,,,,,,,,
385,PI.2025.01.00123,PT TRIMASTER JAYA ABADI,22/01/2025,SURABAYA,0125/123,,04002500017869662,,GEVER1438,"GEVER INVERTER 1/4-3/8""",10,,,PO.2025.01.00114,,,,,,,,,,,,,,
386,PI.2025.01.00120,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,0125/121,,040.003-25.35253353,,AR13BYFAN,SAMSUNG AR13BYFAN,2,,,PO.2024.12.00091,,,,,,,,,,,,,,
387,PI.2025.01.00128,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,0125/127,,04002500010562577,,GWC12N1A,GREE GWC-12N1A,10,,,PO.2025.01.00113,,,,,,,,,,,,,,
388,PI.2025.01.00128,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,0125/127,,04002500010562577,,GWC18N1A,GREE GWC-18N1A,15,,,PO.2025.01.00113,,,,,,,,,,,,,,
389,PI.2025.01.00125,CV BANDUNG GEMILANG SENTOSA,20/01/2025,MADIUN,0125/125,,04002500010514835,,GVC48STSSECO,GREE GVC-48STS(S)ECO,3,,,PO.2025.01.00102,,,,,,,,,,,,,,
390,PI.2025.01.00126,CV JAYA ARTHA SEJAHTERA,23/01/2025,SURABAYA,0125/125,,04002500017571515,,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",300,,,PO.2025.01.00076,,,,,,,,,,,,,,
391,PI.2025.01.00210,CV ALLEND,24/01/2025,BALI,0125/209,,04012500010902855,,,,1,,,PO.2025.02.00092,,,,,,,,,,,,,,
392,PI.2025.01.00210,CV ALLEND,24/01/2025,BALI,0125/209,,04012500010902855,,JASAPEMASANGAN,JASA PEMASANGAN,1,,,PO.2025.02.00092,,,,,,,,,,,,,,
393,PI.2025.01.00129,PT AKARI INDONESIA,23/01/2025,SURABAYA,0125/128,,04002500010788963,,A05TC88NLW,AKARI A05TC88NLW,15,,,PO.2025.01.00111,,,,,,,,,,,,,,
394,PI.2025.01.00131,PT CHANGHONG MEILING ELECTRIC INDONESIA,25/01/2025,SURABAYA,0125/130,,04002500025759716,,CSC05RDX4,CHANGHONG CSC-05RDX4,10,,,PO.2025.01.00120,,,,,,,,,,,,,,
