,Terms and Conditions,Supplier,Date,Branch,Supplier Invoice No,Supplier Invoice Date,Faktur Pajak No,Payment Terms Template,Item (Items),Item Name (Items),Accepted Qty (Items),Rate (Items),UOM (Items),Purchase Order (Items),Purchase Order Item (Items),Purchase Receipt (Items),Purchase Receipt Detail (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Is Tax Withholding Account (Purchase Taxes and Charges),Reference Type (Advances),Reference Name (Advances),Allocated Amount (Advances),Advance amount (Advances)
219,PI.2025.01.00054,PT PANASONIC GOBEL INDONESIA,14/01/2025,SURABAYA,0125/055,,04002500004352240,,CSCUPN5AKJ,PANASONIC CS/CU-PN5AKJ,5,,,PO.2025.01.00061,,,,,,,,,,,,,,
220,PI.2025.01.00055,CV BANDUNG GEMILANG SENTOSA,13/01/2025,SURABAYA,0125/056,,04002500010514902,,GVC48STSSECO,GREE GVC-48STS(S)ECO,1,,,PO.2025.01.00059,,,,,,,,,,,,,,
221,PI.2025.01.00055,CV BANDUNG GEMILANG SENTOSA,13/01/2025,SURABAYA,0125/056,,04002500010514902,,GTAACOOL6,GREE GTA-ACOOL6,1,,,PO.2025.01.00059,,,,,,,,,,,,,,
222,PI.2025.01.00056,CV BANDUNG GEMILANG SENTOSA,11/01/2025,BALI,0125/057,,04002500010514923,,GVC24STSS,GREE GVC-24STSS,2,,,PO.2025.01.00045,,,,,,,,,,,,,,
223,PI.2025.01.00030,PT DAIKIN AIRCONDITIONING INDONESIA,10/01/2025,SURABAYA,0125/030,,04002500006048987,,STC35NV,DAIKIN STC-35NV,5,,,PO.2025.01.00036,,,,,,,,,,,,,,
224,PI.2025.01.00030,PT DAIKIN AIRCONDITIONING INDONESIA,10/01/2025,SURABAYA,0125/030,,04002500006048987,,STC50XV,DAIKIN STC-50XV,10,,,PO.2025.01.00036,,,,,,,,,,,,,,
225,PI.2025.01.00030,PT DAIKIN AIRCONDITIONING INDONESIA,10/01/2025,SURABAYA,0125/030,,04002500006048987,,STKC25TV,DAIKIN STKC-25TV,2,,,PO.2025.01.00036,,,,,,,,,,,,,,
226,PI.2025.01.00030,PT DAIKIN AIRCONDITIONING INDONESIA,10/01/2025,SURABAYA,0125/030,,04002500006048987,,STV50CXV,DAIKIN STV-50CXV,5,,,PO.2025.01.00036,,,,,,,,,,,,,,
227,PI.2025.01.00062,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/067,,04002500006239642,,CTKC25RVM4,DAIKIN CTKC25RVM4,3,,,PO.2025.01.00054,,,,,,,,,,,,,,
228,PI.2025.01.00062,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/067,,04002500006239642,,CTKC35RVM4,DAIKIN CTKC35RVM4,1,,,PO.2025.01.00054,,,,,,,,,,,,,,
229,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STC15NV,DAIKIN STC-15NV,5,,,PO.2025.01.00052,,,,,,,,,,,,,,
230,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STC25NV,DAIKIN STC-25NV,20,,,PO.2025.01.00052,,,,,,,,,,,,,,
231,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STC35NV,DAIKIN STC-35NV,5,,,PO.2025.01.00052,,,,,,,,,,,,,,
232,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STC50XV,DAIKIN STC-50XV,10,,,PO.2025.01.00052,,,,,,,,,,,,,,
233,PI.2025.01.00057,CV BALLY AIRCOND,14/01/2025,BALI,0125/058,,04002500001609571,,GCAACOOL60,GREE GCA-ACOOL60,4,,,PO.2025.01.00060,,,,,,,,,,,,,,
234,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STV15CXV,DAIKIN STV-15CXV,3,,,PO.2025.01.00052,,,,,,,,,,,,,,
235,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STV35CXV,DAIKIN STV-35CXV,3,,,PO.2025.01.00052,,,,,,,,,,,,,,
236,PI.2025.01.00063,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/068,,04002500006239674,,STV50CXV,DAIKIN STV-50CXV,5,,,PO.2025.01.00052,,,,,,,,,,,,,,
237,PI.2025.01.00018,CV BALLY AIRCOND,08/01/2025,BALI,0125/018,,04002500000678254,,GWC12N1A,GREE GWC-12N1A,5,,,PO.2025.01.00031,,,,,,,,,,,,,,
238,PI.2025.01.00058,CV BALLY AIRCOND,14/01/2025,BALI,0125/059,,04002500001609570,,GTAACOOL4,GREE GTA-ACOOL4,3,,,PO.2025.01.00068,,,,,,,,,,,,,,
239,PI.2025.01.00078,PT TOKOPEDIA,01/01/2025,SURABAYA,0125/079,,040.002-25.40213060,,BO FEE,BEBAS ONGKIR FEE,1,,,PO.2025.01.00083,,,,,,,,,,,,,,
240,PI.2025.01.00080,PT TOKOPEDIA,01/01/2025,SURABAYA,0125/081,,040.002-25.40197161,,TF,TRANSACTION FEE,1,,,PO.2025.01.00085,,,,,,,,,,,,,,
241,PI.2025.01.00200,PT TOKOPEDIA,31/01/2025,MADIUN,0125/199,,040.002-25.40207077,,BO FEE,BEBAS ONGKIR FEE,1,,,PO.2025.01.00161,,,,,,,,,,,,,,
242,PI.2025.01.00018,CV BALLY AIRCOND,08/01/2025,BALI,0125/018,,04002500000678254,,GWC0507CSS,GREE GWC0507CSS,1,,,PO.2025.01.00031,,,,,,,,,,,,,,
243,PI.2025.01.00199,PT TOKOPEDIA,31/01/2025,MADIUN,0125/198,,040.002-25.40206335,,TF,TRANSACTION FEE,1,,,PO.2025.01.00160,,,,,,,,,,,,,,
244,PI.2025.01.00051,PT SARANA KENCANA MULYA,13/01/2025,SURABAYA,0125/052,,04002500004429245,,PAC05VZI,POLYTRON PAC05VZI,10,,,PO.2025.01.00041,,,,,,,,,,,,,,
245,PI.2025.01.00051,PT SARANA KENCANA MULYA,13/01/2025,SURABAYA,0125/052,,04002500004429245,,PAC09VZI,POLYTRON PAC09VZI,5,,,PO.2025.01.00041,,,,,,,,,,,,,,
246,PI.2025.01.00051,PT SARANA KENCANA MULYA,13/01/2025,SURABAYA,0125/052,,04002500004429245,,PAC05VZSI,POLYTRON PAC05VZSI,10,,,PO.2025.01.00041,,,,,,,,,,,,,,
247,PI.2025.01.00051,PT SARANA KENCANA MULYA,13/01/2025,SURABAYA,0125/052,,04002500004429245,,PAC09VZSI,POLYTRON PAC09VZSI,5,,,PO.2025.01.00041,,,,,,,,,,,,,,
248,PI.2025.01.00083,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,MADIUN,0125/084,,04002500006373042,,STV15CXV,DAIKIN STV-15CXV,10,,,PO.2025.01.00063,,,,,,,,,,,,,,
249,PI.2025.01.00203,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/202,,04002500014893117,,PAC12VH,POLYTRON PAC12VH,15,,,PO.2025.01.00020,,,,,,,,,,,,,,
250,PI.2025.01.00202,PT SARANA KENCANA MULYA,31/01/2025,SURABAYA,0125/201,,04002500014893123,,PAC05VH,POLYTRON PAC05VH,90,,,PO.2025.01.00019,,,,,,,,,,,,,,
251,PI.2025.01.00039,CV BALLY AIRCOND,11/01/2025,BALI,0125/039,,04002500000947161,,GWC12N1A,GREE GWC-12N1A,15,,,PO.2025.01.00040,,,,,,,,,,,,,,
252,PI.2025.01.00083,PT DAIKIN AIRCONDITIONING INDONESIA,15/01/2025,MADIUN,0125/084,,04002500006373042,,STV35CXV,DAIKIN STV-35CXV,5,,,PO.2025.01.00063,,,,,,,,,,,,,,
253,PI.2025.01.00059,PT PANASONIC GOBEL INDONESIA,14/01/2025,SURABAYA,0125/064,,04002500004352248,,CSCUYN12AKJ,PANASONIC CS/CU-YN12AKJ,50,,,PO.2025.01.00014,,,,,,,,,,,,,,
254,PI.2025.01.00059,PT PANASONIC GOBEL INDONESIA,14/01/2025,SURABAYA,0125/064,,04002500004352248,,CSCUYN18AKJ,PANASONIC CS/CU-YN18AKJ,135,,,PO.2025.01.00014,,,,,,,,,,,,,,
255,PI.2025.01.00092,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/094,,04002500007138506,,STC25NV,DAIKIN STC-25NV,20,,,PO.2025.01.00095,,,,,,,,,,,,,,
256,PI.2025.01.00092,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/094,,04002500007138506,,STC50XV,DAIKIN STC-50XV,15,,,PO.2025.01.00095,,,,,,,,,,,,,,
257,PI.2025.01.00092,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/094,,04002500007138506,,STKQ50UV,DAIKIN STKQ-50UV,2,,,PO.2025.01.00095,,,,,,,,,,,,,,
258,PI.2025.01.00092,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/094,,04002500007138506,,STKQ60UV,DAIKIN STKQ-60UV,1,,,PO.2025.01.00095,,,,,,,,,,,,,,
259,PI.2025.01.00092,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,SURABAYA,0125/094,,04002500007138506,,STV35CXV,DAIKIN STV-35CXV,6,,,PO.2025.01.00095,,,,,,,,,,,,,,
260,PI.2025.01.00060,PT TRIMASTER JAYA ABADI,14/01/2025,SURABAYA,0125/065,,04002500010532134,,TAC09CSDXS,TCL TAC09CSD/XS,5,,,PO.2025.01.00065,,,,,,,,,,,,,,
261,PI.2025.01.00109,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,SURABAYA,0125/110,,04002500007130813,,STC20NV,DAIKIN STC-20NV,3,,,PO.2025.01.00103,,,,,,,,,,,,,,
262,PI.2025.01.00109,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,SURABAYA,0125/110,,04002500007130813,,STC35NV,DAIKIN STC-35NV,8,,,PO.2025.01.00103,,,,,,,,,,,,,,
263,PI.2025.01.00109,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,SURABAYA,0125/110,,04002500007130813,,STC50XV,DAIKIN STC-50XV,5,,,PO.2025.01.00103,,,,,,,,,,,,,,
264,PI.2025.01.00109,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,SURABAYA,0125/110,,04002500007130813,,STKQ25UV,DAIKIN STKQ-25UV,3,,,PO.2025.01.00103,,,,,,,,,,,,,,
265,PI.2025.01.00109,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,SURABAYA,0125/110,,04002500007130813,,STV50CXV,DAIKIN STV-50CXV,8,,,PO.2025.01.00103,,,,,,,,,,,,,,
266,PI.2025.01.00062,PT DAIKIN AIRCONDITIONING INDONESIA,14/01/2025,SURABAYA,0125/067,,04002500006239642,,MKC70RVM4,DAIKIN MKC70RVM4,2,,,PO.2025.01.00054,,,,,,,,,,,,,,
267,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STV15CXV,DAIKIN STV-15CXV,2,,,PO.2025.01.00118,,,,,,,,,,,,,,
268,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STV35CXV,DAIKIN STV-35CXV,7,,,PO.2025.01.00118,,,,,,,,,,,,,,
269,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STC20NV,DAIKIN STC-20NV,3,,,PO.2025.01.00118,,,,,,,,,,,,,,
270,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STC35NV,DAIKIN STC-35NV,10,,,PO.2025.01.00118,,,,,,,,,,,,,,
271,PI.2025.01.00148,PT DAIKIN AIRCONDITIONING INDONESIA,24/01/2025,SURABAYA,0125/142,,04002500012349640,,STC50XV,DAIKIN STC-50XV,10,,,PO.2025.01.00118,,,,,,,,,,,,,,
272,PI.2025.01.00204,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,0125/078,,04002500004429131,,PAC07VH,POLYTRON PAC07VH,7,,,PO.2025.01.00081,,,,,,,,,,,,,,
273,PI.2025.01.00073,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,0125/203,,04002500004429128,,PAC05VH,POLYTRON PAC05VH,20,,,PO.2025.01.00019,,,,,,,,,,,,,,
274,PI.2025.01.00205,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,0125/204,,04002500004429135,,PAC05VZI,POLYTRON PAC05VZI,3,,,PO.2025.01.00081,,,,,,,,,,,,,,
275,PI.2025.01.00205,PT SARANA KENCANA MULYA,13/01/2025,MADIUN,0125/204,,04002500004429135,,PAC09VH,POLYTRON PAC09VH,40,,,PO.2025.01.00019,,,,,,,,,,,,,,
276,PI.2025.01.00104,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,0125/104,,04002500015431049,,GU140TAK,GREE GU140T/A-K,2,,,PO.2025.01.00071,,,,,,,,,,,,,,
277,PI.2025.01.00101,CV BANDUNG GEMILANG SENTOSA,17/01/2025,SURABAYA,0125/101,,04002500010514863,,GWC09MOO5S,GREE GWC-09MOO5S,29,,,PO.2025.01.00094,,,,,,,,,,,,,,
278,PI.2025.01.00112,PT MIDEA PLANET INDONESIA,21/01/2025,SURABAYA,0125/113,,,,MPHA05CRN7,MIDEA MPHA-05CRN7,10,,,PO.2025.01.00024,,,,,,,,,,,,,,
279,PI.2025.01.00206,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/205,,04002500014448463,,AHA5BEY,SHARP AH-A5BEY,50,,,PO.2025.01.00133,,,,,,,,,,,,,,
280,PI.2025.01.00114,PT TRIMASTER JAYA ABADI,21/01/2025,SURABAYA,0125/114,,04002500016248237,,,,25,,,PO.2025.01.00072,,,,,,,,,,,,,,
281,PI.2025.01.00097,PT JATIM WATKORAYA,17/01/2025,SURABAYA,0125/098,,04002500015433413,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",5,,,PO.2025.01.00091,,,,,,,,,,,,,,
282,PI.2025.01.00107,PT HISENSE INTERNATIONAL INDONESIA,21/01/2025,BALI,0125/108,,04002500030111266,,AN09CDG,HISENSE AN09CDG,20,,,PO.2025.01.00046,,,,,,,,,,,,,,
283,PI.2025.01.00098,PT MIDEA PLANET INDONESIA,17/01/2025,SURABAYA,0125/091,,,,MCD24CRN,MIDEA MCD-24CRN,1,,,PO.2025.01.00035,,,,,,,,,,,,,,
284,PI.2025.01.00076,PT GENERGY GLOBAL INDONESIA,15/01/2025,SURABAYA,0125/062,,04022500003589157,,MCD18CRDN2,MIDEA MCD-18CRDN2,1,,,PO.2025.01.00073,,,,,,,,,,,,,,
285,PI.2025.01.00097,PT JATIM WATKORAYA,17/01/2025,SURABAYA,0125/098,,04002500015433413,,ETERNA3X1.5MM,"ETERNA 3X1,5MM",1,,,PO.2025.01.00091,,,,,,,,,,,,,,
286,PI.2025.01.00110,PT MIDEA PLANET INDONESIA,21/01/2025,SURABAYA,0125/111,,,,MSFC09CRN2X,MIDEA MSFC09CRN2X,30,,,PO.2025.01.00024,,,,,,,,,,,,,,
287,PI.2025.01.00113,PT SARANA KENCANA MULYA,21/01/2025,SURABAYA,0125/106,,04002500011153331,,PAC09VZ,POLYTRON PAC09VZ,2,,,PO.2025.01.00105,,,,,,,,,,,,,,
288,PI.2025.01.00096,PT JATIM WATKORAYA,13/01/2025,SURABAYA,0125/051,,04002500011334996,,ETERNA2X1.5MM,"ETERNA 2X1,5MM",18,,,PO.2025.01.00064,,,,,,,,,,,,,,
289,PI.2025.01.00206,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/205,,04002500014448463,,AHA7BEY,SHARP AH-A7BEY,10,,,PO.2025.01.00133,,,,,,,,,,,,,,
290,PI.2025.01.00206,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/205,,04002500014448463,,AHA9BEY,SHARP AH-A9BEY,15,,,PO.2025.01.00133,,,,,,,,,,,,,,
291,PI.2025.01.00187,CV MULTI GUNA SELARAS,31/01/2025,SURABAYA,0125/186,,04002500014919048,,SRK12CT,MITSUBISHI HEAVY INDUSTRIES SRK12CT,3,,,PO.2025.01.00151,,,,,,,,,,,,,,
292,PI.2025.01.00207,PT SHARP ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/206,,04002500014458177,,AHA7BEY,SHARP AH-A7BEY,15,,,PO.2025.01.00133,,,,,,,,,,,,,,
293,PI.2025.01.00172,PT LG ELECTRONICS INDONESIA,31/01/2025,SURABAYA,0125/172,,040.003-25.14055352,,H05TN4SCAX,LG H05TN4.SCAX,30,,,PO.2025.01.00032,,,,,,,,,,,,,,
294,PI.2025.01.00140,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,0125/140,,040.003-25.35255303,,AR12BGHQ,SAMSUNG AR12BGHQ,5,,,PO.2024.11.00196,,,,,,,,,,,,,,
295,PI.2025.01.00141,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,0125/141,,040.003-25.35255302,,AR13BYFAN,SAMSUNG AR13BYFAN,2,,,PO.2024.12.00091,,,,,,,,,,,,,,
296,PI.2025.01.00150,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,0125/149,,040.003-25.35255326,,AR09BGHQ,SAMSUNG AR09BGHQ,5,,,PO.2024.11.00196,,,,,,,,,,,,,,
297,PI.2025.01.00150,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,0125/149,,040.003-25.35255326,,AR05BGHQ,SAMSUNG AR05BGHQ,13,,,PO.2024.11.00196,,,,,,,,,,,,,,
298,PI.2025.01.00077,CV BALLY AIRCOND,23/01/2025,BALI,0125/063,,04002500006445930,,GWC12N1A,GREE GWC-12N1A,15,,,PO.2025.01.00098,,,,,,,,,,,,,,
299,PI.2025.01.00124,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,BALI,0125/124,,04002500010728424,,STKQ25UV,DAIKIN STKQ-25UV,4,,,PO.2025.01.00097,,,,,,,,,,,,,,
300,PI.2025.01.00124,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,BALI,0125/124,,04002500010728424,,STKQ35UV,DAIKIN STKQ-35UV,2,,,PO.2025.01.00097,,,,,,,,,,,,,,
301,PI.2025.01.00116,PT BERKAT ELEKTRIK SEJATI TANGGUH,21/01/2025,BALI,0125/117,,04002500012156127,,,,1,,,PO.2025.01.00106,,,,,,,,,,,,,,
302,PI.2025.01.00119,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,0125/120,,040.003-25.35253354,,AR05BGHQ,SAMSUNG AR05BGHQ,5,,,PO.2024.11.00196,,,,,,,,,,,,,,
303,PI.2025.01.00124,PT DAIKIN AIRCONDITIONING INDONESIA,21/01/2025,BALI,0125/124,,04002500010728424,,STV60CXV,DAIKIN STV-60CXV,5,,,PO.2025.01.00097,,,,,,,,,,,,,,
304,PI.2025.01.00119,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,0125/120,,040.003-25.35253354,,AR09BGHQ,SAMSUNG AR09BGHQ,5,,,PO.2024.11.00196,,,,,,,,,,,,,,
305,PI.2025.01.00117,AINUR ROFIQ,22/01/2025,SURABAYA,0125/118,,,,MATERIAL-AC,MATERIAL AC,1,,,PO.2025.01.00112,,,,,,,,,,,,,,
306,PI.2025.01.00121,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,0125/122,,,,AR10CYFAA,SAMSUNG AR10CYFAA,1,,,PO.2025.01.00115,,,,,,,,,,,,,,
