,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
253,PO.2025.01.00075,PT PANASONIC GOBEL INDONESIA,15/01/2025,SURABAYA,IDR,,,NET 28,,CSCULN5AKJ,PANASONIC CS/CU-LN5AKJ,10,3740478,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
254,PO.2025.01.00070,SAMI JAYA,14/01/2025,SURABAYA,IDR,,,CBD,,,,30,3010000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
255,PO.2025.01.00006,PT CHANGHONG MEILING ELECTRIC INDONESIA,03/01/2025,SURABAYA,IDR,,,NET 60,,CSC12NVB4,CHANGHONG CSC-12NVB4,3,3601500,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
256,PO.2025.01.00067,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,IDR,,,CBD,,GWC12F5S,GREE GWC-12F5S,2,5187860,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
257,PO.2025.01.00083,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,BO FEE,BEBAS ONGKIR FEE,1,433920,,LOT,,,,,,,,
258,PO.2025.01.00071,CV BANDUNG GEMILANG SENTOSA,14/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,2,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
259,PO.2025.01.00074,CV BANDUNG GEMILANG SENTOSA,15/01/2025,SURABAYA,IDR,,,CBD,,,,1,1199000,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
260,PO.2025.01.00084,PT TOKOPEDIA,01/01/2025,SURABAYA,IDR,,,CBD,,SF,SERVICE FEE,1,5774614,,LOT,,,,,,,,
261,PO.2025.01.00082,PT SHARP ELECTRONICS INDONESIA,16/01/2025,BALI,IDR,,,NET 21,,AHA18ZCY,SHARP AH-A18ZCY,5,5294000,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
262,PO.2025.01.00077,CV JAYA ARTHA SEJAHTERA,15/01/2025,SURABAYA,IDR,,,CBD,,ZUTTO1PK,ZUTTO BRAKET 1 PK,5000,24684.686,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
