,columns,data
0,item code,MATERIAL
1,item name,MATERIAL
2,item code,CSCUJ28FFP8
3,item name,CSCUJ28FFP8
10,item code,GWC09N1A
11,item name,GWC09N1A
12,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD"
13,item code,GWC05N1A
14,item name,GWC05N1A
15,item code,GCFCIRCOOL14L
16,item name,GCFCIRCOOL14L
21,item code,55Q6N
22,item name,55Q6N
25,item code,BAC120FR3
26,item name,BAC120FR3
27,item code,PC4NUDMAN
28,item name,PC4NUDMAN
40,item code,4900593
41,item name,4900593
