,Nomor Dokumen,Customer,Payment Terms,Date,Branch,Currency,Exchange Rate,Grand Total,Total PPn,Item Code,Item Name,Qty,Price,Nomor SO,Nomor DN,Nomor UM,Nilai Uang Muka
806,S01788/2025,CUST-2025-15511,28/01/2025,28/01/2025,SURABAYA,,,2589000.0,256568.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.02244,,,0.0
807,S00783/2025,ANGGA (ARDI MANIS ),13/01/2025,13/01/2025,MADIUN,,,49000.0,231792.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,49000.0,SO.2025.01.00955,,,0.0
808,S01789/2025,,28/01/2025,28/01/2025,SURABAYA,,,2449000.0,242694.0,A05TC88NLW,AKARI A05TC88NLW,1,2449000.0,SO.2025.01.02200,,,0.0
809,S01790/2025,AGUS GILANG,28/01/2025,28/01/2025,SURABAYA,,,2599000.0,257559.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2599000.0,SO.2025.01.02168,,,0.0
810,S00785/2025,CUST-2025-14894,13/01/2025,13/01/2025,SURABAYA,,,2859000.0,283324.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.00961,,,0.0
811,S00784/2025,CUST-2025-08035,13/01/2025,13/01/2025,SURABAYA,,,278000.0,27549.0,P1458,"ZUTTO 1/4""-5/8"" (0,61-0,71)",2,139000.0,SO.2025.01.00959,,,0.0
812,S00898/2025,CUST-2025-34014,14/01/2025,14/01/2025,SURABAYA,,,2290000.0,226936.0,AN05CDG,HISENSE AN05CDG,1,2290000.0,SO.2025.01.01114,,,0.0
813,T00328/2025,CUST-2025-03925,27/02/2025,28/01/2025,BALI,,,2300000.0,227928.0,PAC05VH,POLYTRON PAC05VH,1,2300000.0,SO.2025.01.02263,,,0.0
814,T00329/2025,CUST-2025-03925,27/02/2025,28/01/2025,BALI,,,25300000.0,2507207.0,PAC05VH,POLYTRON PAC05VH,11,2300000.0,SO.2025.01.02265,,,0.0
815,S00786/2025,CUST-2025-08828,13/01/2025,13/01/2025,SURABAYA,,,6659000.0,659900.0,SRK18CXP,MITSUBISHI HEAVY INDUSTRIES SRK18CXP,1,6659000.0,SO.2025.01.00962,,,0.0
816,S00789/2025,CUST-2025-34985,13/01/2025,13/01/2025,SURABAYA,,,2845000.0,382522.0,TAC09CSDXS,TCL TAC09CSD/XS,1,2845000.0,SO.2025.01.00963,,,0.0
817,S00787/2025,ADIL WIJAYA / IBU NUR AIN,13/01/2025,13/01/2025,SURABAYA,,,2599000.0,257558.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2599000.0,SO.2025.01.00964,,,0.0
818,S01791/2025,,28/01/2025,28/01/2025,SURABAYA,,,375000.0,273018.0,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",5,75000.0,SO.2025.01.02255,,,0.0
819,S01792/2025,CUST-2025-14527,28/01/2025,28/01/2025,SURABAYA,,,3989000.0,395306.0,CSCULN5AKJ,PANASONIC CS/CU-LN5AKJ,1,3989000.0,SO.2025.01.02169,,,0.0
820,S00788/2025,CUST-2025-06356,13/01/2025,13/01/2025,SURABAYA,,,2859000.0,283324.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.00967,,,0.0
821,S01791/2025,,28/01/2025,28/01/2025,SURABAYA,,,2380000.0,273018.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2380000.0,SO.2025.01.02255,,,0.0
822,S01793/2025,CUST-2025-10711,28/01/2025,28/01/2025,SURABAYA,,,2380000.0,235856.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2380000.0,SO.2025.01.02266,,,0.0
823,S00789/2025,CUST-2025-34985,13/01/2025,13/01/2025,SURABAYA,,,975000.0,382522.0,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",1,975000.0,SO.2025.01.00963,,,0.0
824,S00789/2025,CUST-2025-34985,13/01/2025,13/01/2025,SURABAYA,,,40000.0,382522.0,ARA-DTL,ARA DUCT TAPE LEM,5,8000.0,SO.2025.01.00963,,,0.0
825,S00900/2025,CUST-2025-00141,14/01/2025,14/01/2025,SURABAYA,,,3199000.0,317018.0,AHA9ZCY,SHARP AH-A9ZCY,1,3199000.0,SO.2025.01.01116,,,0.0
826,S00792/2025,CUST-2025-37262,13/01/2025,13/01/2025,SURABAYA,,,2769000.0,274405.0,CSC09NVC4,CHANGHONG CSC-09NVC4,1,2769000.0,SO.2025.01.00966,,,0.0
827,S01794/2025,ANUGERAH JAYA ABADI MADIUN,28/01/2025,28/01/2025,SURABAYA,,,3995000.0,1112387.0,STV25CXV,DAIKIN STV-25CXV,1,3995000.0,SO.2025.01.02267,,,0.0
828,S01794/2025,ANUGERAH JAYA ABADI MADIUN,28/01/2025,28/01/2025,SURABAYA,,,7230000.0,1112387.0,STC50XV,DAIKIN STC-50XV,1,7230000.0,SO.2025.01.02267,,,0.0
829,S00790/2025,CUST-2025-09998,13/01/2025,13/01/2025,SURABAYA,,,2589000.0,256567.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.00969,,,0.0
830,S00899/2025,CUST-2025-10026,14/01/2025,14/01/2025,SURABAYA,,,2839000.0,281342.0,PAC07VH,POLYTRON PAC07VH,1,2839000.0,SO.2025.01.01117,,,0.0
831,S01795/2025,CUST-2025-31194,28/01/2025,28/01/2025,SURABAYA,,,14985000.0,1485000.0,CSC18NVB3,CHANGHONG CSC-18NVB3,3,4995000.0,SO.2025.01.02009,,,0.0
